"","X","cut","total_weight","lbprize","number.cows","water.rate","co2.emision","land.use","price","ratio"
"1",1,"Blended Burger",379,6.82,3,19.065234,308.877,231,10025.4,34.445696653094
"2",2,"Ground Beef",250,4.30638554216867,4,25.420312,411.836,308,8440.51566265059,21.7502126183008
"3",3,"Beef Patties",250,4.64873015873016,4,25.420312,411.836,308,9111.51111111111,23.4792886905731
"4",4,"Bones",80,1.97208333333333,13,82.616014,1338.467,1001,12562.1708333333,9.96037892589771
"5",5,"Chuck Roll",60,5.43608695652174,17,108.036326,1750.303,1309,45282.6043478261,27.4559827396171
"6",6,"Bone-in Strip",36,11.65625,28,177.942184,2882.852,2156,159923.75,58.8720896792708
"7",7,"Top Round",32,5.39833333333333,32,203.362496,3294.688,2464,84645.8666666666,27.2653009431504
"8",8,"Sirloin",28,4.58444444444444,36,228.782808,3706.524,2772,80869.5999999999,23.1546015625066
"9",9,"Brisket",28,5.37264150943396,36,228.782808,3706.524,2772,94773.396226415,27.1355395395577
"10",10,"Should Clod",28,5.37428571428571,36,228.782808,3706.524,2772,94802.3999999999,27.1438439063552
"11",11,"Shanks",28,4.43032258064516,36,228.782808,3706.524,2772,78150.8903225806,22.3761800129407
"12",12,"Bottom Round",22,4.81086956521739,46,292.333588,4736.114,3542,108437,24.2982043520646
"13",13,"Chuck Eye",20,5.4496875,50,317.7539,5147.95,3850,133517.34375,27.5246748503165
"14",14,"Boneless Ribeye",16,13.3830434782609,63,400.369914,6486.417,4851,413134.552173914,67.5935859160327
"15",15,"Navel",16,5.7,63,400.369914,6486.417,4851,175959,28.7889253552252
"16",16,"Top Blade",16,5.84162790697674,63,400.369914,6486.417,4851,180331.053488372,29.5042438187638
"17",17,"Chuck Underblade",16,8.07673913043478,63,400.369914,6486.417,4851,249328.936956522,40.7930947262655
"18",18,"Eye Round",10,5.36764705882353,100,635.5078,10295.9,7700,263014.705882353,27.1103141245026
"19",19,"Short Ribs",10,5.9963829787234,100,635.5078,10295.9,7700,293822.765957447,30.2858635045282
"20",20,"Tenderloin",10,16.9083333333333,100,635.5078,10295.9,7700,828508.333333332,85.3987274060699
"21",21,"Tri-tip",6,6.44511111111111,167,1061.298026,17194.153,12859,527403.442222222,32.5522495936685
"22",22,"Flap",5,8.14,200,1271.0156,20591.8,15400,797720,41.1126056827251
"23",23,"Skirt",5,7.64666666666667,200,1271.0156,20591.8,15400,749373.333333334,38.6209326110448
"24",24,"Flank",3,7.93823529411765,334,2122.596052,34388.306,25718,1299171.58823529,40.0935549709767
"25",25,"Hanger",1.5,7.55384615384615,667,4238.837026,68673.653,51359,2468823.53846154,38.1521250996372
"26",26,"Oxtail",1.5,5.47470588235294,667,4238.837026,68673.653,51359,1789298.12352941,27.6510349103283
"27",27,"Teres Major",1.5,7.85714285714286,667,4238.837026,68673.653,51359,2567950,39.6839823192328
"28",28,"Tongue",1.25,5.80448275862069,800,5084.0624,82367.2,61600,2275357.24137931,29.3166352392321
