"","cut","lbprize","water.rate","co2.emision","land.use"
"1","Blended Burger",6.82,19.065234,308.877,231
"2","Ground Beef",4.30638554216867,25.420312,411.836,308
"3","Beef Patties",4.64873015873016,25.420312,411.836,308
"4","Bones",1.97208333333333,82.616014,1338.467,1001
"5","Chuck Roll",5.43608695652174,108.036326,1750.303,1309
"6","Bone-in Strip",11.65625,177.942184,2882.852,2156
"7","Top Round",5.39833333333333,203.362496,3294.688,2464
"8","Sirloin",4.58444444444444,228.782808,3706.524,2772
"9","Brisket",5.37264150943396,228.782808,3706.524,2772
"10","Should Clod",5.37428571428571,228.782808,3706.524,2772
"11","Shanks",4.43032258064516,228.782808,3706.524,2772
"12","Bottom Round",4.81086956521739,292.333588,4736.114,3542
"13","Chuck Eye",5.4496875,317.7539,5147.95,3850
"14","Boneless Ribeye",13.3830434782609,400.369914,6486.417,4851
"15","Navel",5.7,400.369914,6486.417,4851
"16","Top Blade",5.84162790697674,400.369914,6486.417,4851
"17","Chuck Underblade",8.07673913043478,400.369914,6486.417,4851
"18","Eye Round",5.36764705882353,635.5078,10295.9,7700
"19","Short Ribs",5.9963829787234,635.5078,10295.9,7700
"20","Tenderloin",16.9083333333333,635.5078,10295.9,7700
"21","Tri-tip",6.44511111111111,1061.298026,17194.153,12859
"22","Flap",8.14,1271.0156,20591.8,15400
"23","Skirt",7.64666666666667,1271.0156,20591.8,15400
"24","Flank",7.93823529411765,2122.596052,34388.306,25718
"25","Hanger",7.55384615384615,4238.837026,68673.653,51359
"26","Oxtail",5.47470588235294,4238.837026,68673.653,51359
"27","Teres Major",7.85714285714286,4238.837026,68673.653,51359
"28","Tongue",5.80448275862069,5084.0624,82367.2,61600
